# Global Metrics
taskThroughput,taskThroughput_description
4.8,系统在单位时间内成功完成的任务数量 (总完成任务数 / 总仿真时长)


# Compute Node Metrics
computeNodeId
201
202


# Task Metrics
taskId,userNodeId,status,computeNodeId
1,1,COMPLETED,201
2,1,UNCOMPLETED,-1


