simTime,packetType,packetId,sourceNodeType,sourceNodeId,destNodeType,destNodeId
2.696e-005,9,2,3,2,4,1
3.568e-005,8,2,4,1,5,3
4.512e-005,9,2,4,1,5,3
1.784e-005,8,2,5,3,2,1
1.816e-005,9,2,5,3,6,1
3.568e-005,8,2,2,1,1,1
5.224e-005,1,2,1,2,2,2
5.224e-005,1,4,1,1,2,1
0.00010448,1,2,2,2,5,3
0.00010448,1,4,2,1,5,3
5.224e-005,1,2,5,3,6,1
6.392e-005,1,4,5,3,6,1
1.72e-005,2,9,6,1,5,3
2.536e-005,2,10,6,1,5,3
3.512e-005,3,13,6,1,5,3
4.488e-005,3,14,6,1,5,3
1.88e-005,3,13,5,3,2,2
5.464e-005,3,15,6,1,5,3
5.112e-005,2,11,6,1,5,3
4.872e-005,2,9,5,3,4,1
5.928e-005,2,12,6,1,5,3
4.872e-005,2,10,5,3,4,2
3.08e-005,3,14,5,3,4,1
6.904e-005,3,16,6,1,5,3
2.92e-005,3,15,5,3,4,2
2.104e-005,2,11,5,3,4,1
7.88e-005,3,17,6,1,5,3
2.104e-005,2,12,5,3,4,2
1.88e-005,3,16,5,3,2,1
8.856e-005,3,18,6,1,5,3
1.88e-005,3,17,5,3,4,1
4.872e-005,2,9,4,1,3,1
4.872e-005,2,10,4,1,3,2
1.88e-005,3,18,5,3,4,2
4.872e-005,2,9,4,2,3,3
4.872e-005,2,10,4,2,3,4
4.88e-005,2,11,4,1,3,1
4.88e-005,2,12,4,1,3,2
2.008e-005,4,5,3,1,4,1
2.008e-005,4,5,3,2,4,1
4.88e-005,2,11,4,2,3,3
4.88e-005,2,12,4,2,3,4
2.008e-005,4,5,3,3,4,2
2.008e-005,4,5,3,4,4,2
4.016e-005,4,5,4,1,5,3
2.296e-005,4,6,3,1,4,1
2.296e-005,4,6,3,2,4,1
4.016e-005,4,5,4,2,5,3
2.296e-005,4,6,3,3,4,2
2.296e-005,4,6,3,4,4,2
5.12e-005,4,5,4,1,5,3
5.12e-005,4,5,4,2,5,3
2.008e-005,4,5,5,3,6,1
2.296e-005,4,5,5,3,6,1
3.112e-005,4,5,5,3,6,1
3.4e-005,4,5,5,3,6,1
0.00022752,4,6,4,1,5,3
0.00022752,4,6,4,2,5,3
0.00023856,4,6,4,1,5,3
0.00023856,4,6,4,2,5,3
0.00057664,4,6,5,3,6,1
2.136e-005,6,5,6,1,5,3
0.00057952,4,6,5,3,6,1
0.00058768,4,6,5,3,6,1
2.136e-005,6,5,5,3,2,2
0.00059056,4,6,5,3,6,1
4.272e-005,6,5,2,2,1,2
2.072e-005,7,2,1,2,2,2
2.072e-005,7,2,2,2,5,3
2.072e-005,7,2,5,3,4,2
2.072e-005,7,2,4,2,3,3
2.136e-005,6,6,6,1,5,3
2.136e-005,6,6,5,3,2,1
4.272e-005,6,6,2,1,1,1
2.072e-005,7,4,1,1,2,1
2.072e-005,7,4,2,1,5,3
2.072e-005,7,4,5,3,4,1
2.072e-005,7,4,4,1,3,1
1.784e-005,8,1,3,1,4,1
2.696e-005,9,1,3,1,4,1
3.568e-005,8,1,4,1,5,3
4.512e-005,9,1,4,1,5,3
1.784e-005,8,1,5,3,2,1
1.816e-005,9,1,5,3,6,1
3.568e-005,8,1,2,1,1,1
4.936e-005,8,2,3,3,4,2
5.848e-005,9,2,3,3,4,2
9.872e-005,8,2,4,2,5,3
0.00010784,9,2,4,2,5,3
1.784e-005,8,2,5,3,2,2
4.968e-005,9,2,5,3,6,1
6.72e-005,8,2,2,2,1,2
5.224e-005,1,3,1,2,2,2
0.00010448,1,3,2,2,5,3
5.224e-005,1,3,5,3,6,1
1.72e-005,2,13,6,1,5,3
2.536e-005,2,14,6,1,5,3
3.512e-005,3,19,6,1,5,3
4.488e-005,3,20,6,1,5,3
1.88e-005,3,19,5,3,2,2
5.464e-005,3,21,6,1,5,3
4.872e-005,2,13,5,3,4,1
4.872e-005,2,14,5,3,4,2
3.08e-005,3,20,5,3,4,1
2.92e-005,3,21,5,3,4,2
4.872e-005,2,13,4,1,3,1
4.872e-005,2,14,4,1,3,2
4.872e-005,2,13,4,2,3,3
4.872e-005,2,14,4,2,3,4
2.008e-005,4,7,3,1,4,1
2.008e-005,4,7,3,2,4,1
2.008e-005,4,7,3,3,4,2
2.008e-005,4,7,3,4,4,2
4.016e-005,4,7,4,1,5,3
4.016e-005,4,7,4,2,5,3
5.12e-005,4,7,4,1,5,3
5.12e-005,4,7,4,2,5,3
2.008e-005,4,7,5,3,6,1
2.296e-005,4,7,5,3,6,1
3.112e-005,4,7,5,3,6,1
3.4e-005,4,7,5,3,6,1
2.136e-005,6,7,6,1,5,3
2.136e-005,6,7,5,3,2,2
4.272e-005,6,7,2,2,1,2
2.072e-005,7,3,1,2,2,2
2.072e-005,7,3,2,2,5,3
2.072e-005,7,3,5,3,4,2
2.072e-005,7,3,4,2,3,4
1.784e-005,8,2,3,4,4,2
2.696e-005,9,2,3,4,4,2
3.568e-005,8,2,4,2,5,3
4.512e-005,9,2,4,2,5,3
1.784e-005,8,2,5,3,2,2
1.816e-005,9,2,5,3,6,1
3.568e-005,8,2,2,2,1,2
